rin,eng
O na iya magigin ayop usad na beses kada bulan.,Or that she would change into an animal once a month.
O pipilion na diri magkaon o kaputan o parungon a bawang.,Or would prefer not to eat or touch or smell garlic.
O ta gusto niya pagparaparungon a mga mabros na babayi paminsan-minsan.,Or that she liked to smell pregnant women every now and then.
"Dakol na ising bagay si lyay manungod sa dakol na bagay, pero dapat sana man sa edad niyang an.","Iyay knew a lot of things about many things, and she should at her age."
Diri mo sana iya pag-ungaon kin pirang taon na 'ya.,Just don't ask her how old she is.
"A mga aswang, lalo na su mga gurang na babaying aswang, 'laka mga sensitibo manungod ka edad nira.","Aswangs, especially very old female aswangs, are very sensitive about their age."
Ungaon mo na sana su patal na paradaog-daog na pag-una niya mas gwapo iya ki Aga Muhlach.,Just ask that stupid bully who thought he was cuter than Aga Muhlach.
"Isi ko, 'laka pang-Bagets!","I know, it's so Bagets!"
"Pero ku nagdadakulo kaya ako, si Aga Muhlach su crush-ng-bayan.","But growing up, Aga Muhlach was the crush-ng-bayan."
Pero nguwan si yummy-ulam-pahingi-pa-ng-kanin Papa Piolo Pascual!,And now it's just yummy-ulam-pahingi-pa-ng-kanin Papa Piolo Pascual!
"Entonces, su feeling-Aga pigsabiyan iya na sa kagurangan kuno niyang an.","So, feeling-Aga had sassed to her that she's so old."
"Kin virgin pa iya, a hymen niya among tuod na kagumoy sa goma.","That if she were a virgin, her hymen would be as tough as rubber."
Su kinatapusan niya agko 'ya dysmenorrhea uru-aldow anggan sa mag-ayat iya sa dispensa ki Iyay ku ginibo niyang uda supog na tuyaw.,He ended up with dysmenorrhea every day until he apologized to Iyay for making such ungentlemanly remarks.
Pa'la diri na iya nakamati ku kulog pag nakakaulangan pakatapos.,And he stopped having menstrual pain after.
"Ya, pirmi niyang maiisiyan maski uda man iya sari man sa arani ko kin bumbigay na 'ko sa petal attraction ko sa Gumamela-red-lipstick ni Mommy dearest.","Anyway, she would always know without being anywhere near me when I would give in to my petal attraction to Mommy dearest's Gumamela-red lipstick."
Bubutwa na sana 'ya galin kin sari na bagana kurakding.,She would just pop out of nowhere like a mushroom.
Tanganing punason adi sa ngabil ko pirang minuto bago 'ko mabayad ni Daddy.,To wipe it off my mouth just minutes before Daddy would see me.
Pa'la gigibuwon niya yan pa'la tatanggalon niya adtong tuwalya na ipuputos ko sa payo.,Later on she would be doing that and taking off the towel I would wrap around my head.
Na gagamiton kong wig.,Which I would use as a wig.
O papadali-dalion niya 'kong upsuon su heels ni Mommy dearest.,Or hurrying me out of Mommy dearest's heels.
Pigpadagos niya adtong gibuwon anggan sa ako tatakon na usad na tag-init.,She continued to do that until I was circumcised one summer.
Ag su bagana ngamin na igin na lalaki sa bilog na Los Angeles.,And the rest of the boys in the whole of Los Angeles it seemed.
Bagana adto langit kanako.,It was heaven for me.
"Syempre, 'lang kulog na bagana nasa impyerno na tatakon.","Of course, it hurt like hell being circumcised."
"Ag kin pwede sana na diri ko na 'di inagyan, noh!","And I wished I didn't have to go through it, noh!"
"Pero bayda, nakasupong ako sa palda sa pirang semana labing nagpaparay ako.","But see, I got to wear a skirt for weeks while I healed."
Gusto ko sa maray kin pauno matutukyab a palda sa palibot ko pag maangin.,I loved how the skirt would billow around me when it was windy.
O kin paunong bagana ko babaying pagsilngan labing pig-uusay ko a palda pag mig-ula ako.,Or how ladylike I appeared while arranging my skirt when I would sit down.
Pero narisa ni Daddy na mala naman uban na nagsusupong ako ku palda.,But Daddy had noticed that I was wearing the skirt for too long.
Pigtugal niya si Iyay na pasupa-supaon pa 'ko sa dakol na dawon sa bayabas pa'la ipayid su ginuma-gumang bayabas sadi junior ko.,He had asked Iyay to make me chew more guava leaves and apply the paste on my junior.
Tanganing mapila na tulos tanganing magpundo na 'ko sa pagsupong ka lintian na paldang an.,So that I would heal faster and stop wearing the damn skirt.
Pa'la usad na aldow nagkaagko problema su kapangyariyan sa aswang ni lyay.,Then one day there was a glitch in lyay's aswang powers.
"Ag nabayad ako ni Daddy na nakasupong ku tuwalya, lipstick, palda, ag heels.","And Daddy saw me wearing the towel, lipstick, skirt, and heels."
Pa'la bagana si Mother Melanie Marquez sa atubangan ku salming.,And sashaying like Mother Melanie Marquez in front of the mirror.
"Ngayo-ngayo na akong pinurbaran niya kong lumuson sa drum, o sadto salog kintana.","I wished he had tried to drown me in a drum, or in the river, too."
Tanganing nakarait man kintana ako na buko akong lalaki kindi sirena po!,So that I could also scream that I was not a boy but a sirena po!
"Pero, diri, diri, diri.","But, no, no, no."
Ading lauman sa manok kanako.,It was the chicken coops for me.
"Tunay, para sa usad na eredero sa chickendom.","Really, for someone who was an heir to a chickendom. "
Matuod akong manok pag-abot sa mga manok.,I was a real chicken when it came to chickens.
"Ata, magdudulag pa ngani ako na nagkakagrat sadto mga isiw, sister!","I mean, I would even run away screaming from chicks, sister!"
"Kaya adto, pigbubutong akong nagrarait na nagsisingot-singot arog ka siisay man na sadit na babaying igin ni Daddy.","So there I was, being hauled screaming and sniveling like any little girl by Daddy."
Labing piglalamasa 'ko ku dakulong paha niyang balat na agko bulawan na Texas na manok na ebilya.,While he was beating me with his big leather belt with the gold Texas chicken buckle.
Ag nagtatangis ako ki Mommy dearest pala ki Iyay ag ki Inang Maria na isalbar ako.,And I was crying for Mommy dearest and Iyay and Mama Mary to save me.
Isinalya 'ko sadto pinakaaraning lauman.,I was thrust into the nearest coop.
Bagana 'ko linaom sa bartolina labing nakakapot ako ag nagsisirang sadto ringring na kawayan.,Looking like I was caged in a bartolina as I held and peered through the bamboo slats.
"Pero kamaturan, su lauman sa manok arog kadakulo sa dakulong kwarto.","But really, the chicken coop was as big as a big room."
"Nagkakalintar si Daddy ta kadakol ko kunong piglaspag na panawon sa mga binabaying bagay imbes na mag-asikaso ka mga manok na nagpapakaon, nagbabado, ag nagtataong istaran kanamo.","Daddy was roaring that I had spent way too much time doing sissy things rather than minding the chickens that fed, clothed, and sheltered us."
Pa'la nagkalintar pa'ya na migpirmi nguna kuno ako sadto ag diri pagtawan sa pagkaon pa'la tubig anggan sa diri ako nagkakaagko panlalaki ag panmanok na kasipan sa sadiri ko.,Then he roared some more that I was to stay there and be given no food and no water until I had gotten some manly and chicken sense into me.
Nagkalintar pa iya sa ibang bagay pero diri ko talaga iya maintindiyan k'wasa sigeng lasik ku wiloy galin sadto nganga niya.,He roared some other things but I couldn't really understand him because of the spittle coming out of his mouth.
"Ya kawasa, diri ko isi kin uno talaga makukuko ko labing nakalaom sadto luog kadtong lauman sa manok, noh?","Really, I didn't know what I was supposed to get while being stuck inside a chicken coop, noh?"
Mas makakaray raw a pagkakaagko panlalaki o panmanok na kaisipan?,Was having manly or chicken sense better?
Pa'la naparong ko na su mga manok na dyos ko su bata nirang abot sa kauru-itaasi ka kalangitan!,Then I finally smelled the chickens and good lord they stank to high heavens!
"Pa'la namangno ko na solo na sana palan ako kaiba su mga kinakataktan, namata nang mga manok.","Then I realized that I was all alone with the feared, stinky chickens."
"Luway akong nag-atras sadto pinakaaraning kanto, luway na nagsasayod.","I slowly backed myself into the nearest corner, softly saying."
Nagsuksukan sira ngamin sadto usad na puro ku lauman labing ako sadto man balyong puro.,They all huddled in one end of the coop while I stayed in the other.
"Ya, nagpalusot si Iyay kanako sa pagkaon ag tubig ku turog na si Daddy ku gab-ing adto pa'la kada gab-i pakatapos kadto.","Anyway, Iyay had sneaked food and water to me as soon as Daddy was asleep that night and every night after."
Sabi niya kanako uda dapat katakutan.,She told me that there was nothing to be afraid of.
Na a mga manok mabubuot man.,That the chickens were really nice.
Ag kin mag-imati sana 'ko sa maray marurungog ko sira na magbisara pala makakabisara ko man sira.,"And that if I listened closely I would hear them talk and I could talk to them, too."
"Ag tunay, mas takot akong magraan sa kalangkagan- kisa tusayon anggan sa magraan.","And really, I was scared to death more of being bored to death rather than being pecked to death."
o mapuot ka parong ka ipot ka manok anggan magraan.,Or suffocating on the smell of chicken shit to death.
Ta uda man ako makabisarang siisay man o sa kin uno man.,Because I could not talk to anybody or anything.
"Pag-agi sa pirang aldow, kaparong ko naman sira kaya nagdesisyon na 'kong kausipon na sana sira.","After several days, I smelled like them so I decided that I might as well talk to them."
"Ay mader, nakakangabil a mga manok.","And mother, the chickens could talk."
Ag pag nagpuon na sirang magkutkutat diri na sira mapu-pundo!,And once they start to squawk they couldn't stop!
"Rugang pa sadto pag-istorya nira manungod ka problema nira sa salud, kaya nirang daugon sa tsimisan si Ate Luds o si Cristy Fermin.","In addition to telling me their health problems, they could out-gossip Ate Luds or Cristy Fermin."
Narungog ko na ading manok na adi agko relasyon sadi sulog na adi ngaya.,I heard that this chicken was having an affair with this rooster.
Pa'la a ama ka mga itlog ka manok na adto buko man palan su ama ngaya.,And the father of the eggs of that chicken was not the father.
Pa'la kada ika-44 na aldow agko daliyan a mga manok.,And that every 44th day there was an orgy among the chickens.
Pigsabi ko ki Iyay ngamin na pig-istorya kanako ku mga manok pa'la a simbag sana kadi su bruha niyang tawa.,I told Iyay all that the chickens told me and she replied with that bruha cackle.
Uda sadto mga manok nagsuspetsa na ngamin sira migraan pagkatapos ka 45 na aldow.,None of the chickens suspected that they were all going to die after 45 days.
Pero namati nira na kaipuwan nirang magselebrar ka ika-44 na aldow.,But they felt the need to party on the 44th day.
Abo ko man na rauton a okasyon nira sa paagi ka pagsabi ko kanda na migraan sira ngamin pakatapos kan.,I didn't want to ruin their party by telling them that they were all going to die after that.
"Ay ta girl, a mga manok pwede talagang magpyesta anggan sa mautsan sira.","And girl, the chickens could really party to death."
Sa kinatapusan pinaluwas na 'ko ni Daddy ku oras na su mga manok dadarawon na sadto kin sari man sira dadarawon.,Daddy finally let me out when it was time for the chickens to be delivered to wherever they were supposed to go.
Sinabiyan iya ni Iyay na agko na kuno 'ko panmanok na kaisipan.,Iyay had told him that I had gained my chicken sense.
Gusto kong magtangis ag magkaway sa beauty-queen-goodbye kanda.,I wanted to cry and wave a beauty-queen-goodbye to them.
Ta isi kong migraan sira sa 'lang takot na kagranan pa'la a tapos nira sa plato kin kiisay man na Chicken Joy o kin uno pa man.,Because I knew that they were going to die horrible deaths and end up in someone's plate as Chicken Joy or something.
"Ay tunay, nakabayad nayka kin uno gigibuwon nira sa manok na lulutuon na à la pinikpikan?","Really, have you seen what they do to a chicken cooked à la pinikpikan?"
Pero a pagtangis ag pagkaway bukong gibong panlalaki.,But crying and waving wasn't a manly thing to do.
Ag pa'la isasalya naman sana 'ko utro pabalik sadto lauman kin gibuwon ko yan.,And I would just be hauled right back into the coops if I did that.
Saka mala ko na kadesperadong marigos.,And I was desperate for a bath.
"Lain pa, diri man maririsa ku mga manok a uno pa man na bagay k'wasang 'la pa ka mga burat.","Besides, the chickens wouldn't have noticed anything anyway because they were too hungover."
Nagpundo 'kong magkaon sa manok pakatapos.,I stopped eating chicken after.
"Ta diri ko kayang kaunon a mga madiyon ko o mga arayong erensya nira, noh?!","I couldn't eat my kumares or some distant relative of theirs, noh?!"
Diri man nagreklamo si Daddy ta abo mo naman talaga magkaon sa manok kin ika man nag-aangos ag nag-aataman kanda sa bilog mong buway.,"Daddy didn't complain because you wouldn't want to eat chickens, too, when you're breathing and minding them for the rest of your life."
Pig-oorgulyo ni Daddy kin pauno kong masasabi kin uno sala sa aring manok.,Daddy was proud of how I could tell what was wrong with which chicken.
Na maiisiyan ko pag chikahan namo ka mga chicas.,Which I would find out during my chikahan with the chicas.
Pig-oorgulyo man niya kin paunong nagin lagong ading boses ko.,He was also proud of how my voice got deeper.
Ag kin pauno 'kong 'lang abladang mag-agi na bagana lalong.,And how I strutted around like a cock.
Na amo pigpagibo kanako ku mga manok.,Which the chickens had advised me to do.
Nagkuko pa ngani sira sa sulog 'nganing ipabayad kanako.,They even got a rooster to show me.
Basta sa diri sana ako makigkigan.,And as long as I wasn't surprised.
Ta a lagong kong boses magigin rait pala migtaas a palad ag mga guramoy ko na agko kasabay na Aaaaay!,Which would transform my deep voice into a squeal and make my palm and fingers fling upwards with matching Aaaaay!
Pirmi sana 'kong bagana su pangaturganan niyang igin na lalaki.,I appeared to be more like his dream son.
La niya kamuya na maray nanggad nang nagsusoltero na 'ko na diri na niya nariparo na nagpuon na 'kong magpaaba sa bok.,He was so happy that I was finally turning more and more into a young man that he didn't even mind when I began growing my hair long.
"Sa baryo namo, sikat a rock music, lalo na a Guns N' Roses.","In our barrio, rock music was a hit after all, especially Guns N' Roses."
"Uda bayliyan sa barangay a natatapos na diri pinapatugtog a ""Sweet Child of Mine"" ag ngamin na tawo makakapay na bagana rungaw na ayam sa chorus.","Not a baylihan or a barangay dance went by without ""Sweet Child of Mine"" being played and all the people would go crazy-dog-wild to the chorus."
"Agko 'ko poster nira sa kwarto ko kaibanan su White Lion, Skid Row, Metallica, pala Bon Jovi.","I had posters of them in my room, together with White Lion, Skid Row, Metallica, and Bon Jovi."
Pa'la nag-uyon si Daddy na ngamin sira machong pagsilngan dawa na a iba kanda maaba a bok ag maati ag demonyong pagsilngan.,And Daddy agreed that they all looked macho even if some of them had long hair and looked dirty and evil.
Muya sana si Daddy na nagrurungog ako sa machong kanta dawa na maribok adi.,Daddy was just so happy that I was listening to macho music even if it was noisy.
"Kisa man magkanta ka ""Kapag Tumibok ang Puso"" ni Donna Cruz.","Instead of singing to Donna Cruz's ""Kapag Tumibok ang Puso""."
Diri isi ni Daddy na crush ko kadaklan kanda pa'la pag-aarukan ko a poster nira labing pigsusukray ko sa 100 na beses a bok ko.,Daddy didn't know that I had a crush on most of them and that I would kiss their posters as I combed my hair 100 times.
Pig-iisip ko na mas maray nanggad a agko maabang bok kisa magsupong sa wig na tuwalya.,Thinking that having long hair was so much better than wearing a towel for a wig.
"Sabi ko ki Daddy na a mga rock idols ko ag a mga machong barbarians ku panawon, arog ni Conan the Destroyer, maaba a bok.","I told Daddy that my rock idols and the macho barbarians of old, like Conan the Destroyer, had long hair."
Pigpipirit niya na diri ko 'di pagpaabaon lampas sa tingron ta bagana kuno ko babaying pagsilngan.,He insisted that I should at least not let it grow past my nape because I just looked too damn girly.
Pig-unga niya 'ko kin ngata uda ako poster sa mga babayi sa kwarto ko.,He did ask why I didn't have posters of girls in my room.
Sabi ko kanya mapili sana talaga 'ko pero agko ko nakuko galin sadto usad na lalaki sadto tanuman.,I told him that I was picky but I did get from one of our boys in our farm.
Su kalendaryo sa alak na agko litrato sa mga babaying nakabikini kada bulan.,That calendar of some liquor with pictures of women in bikinis for each month.
"Kada gab-i, gusto ko na magin arog man lugod nira ka-sexy.","Every night, I would wish that I would be as sexy as they were."
"Sa ibang gab-i, gusto ko na magsupong man sa pulang bikini.","On some nights, I would even wish that I would also get to wear a red bikini."
Ag maglunad sa puting kabayo paiyan sa puting kastilyo kin sari nag-uulat su Prince Charming ag kin sari kami mig-istar na mamuya sagkod pa man.,And ride that white horse to a white castle where Prince Charming was waiting and where we could live happily ever after.
Pa'la kada aldow pigpupurbaran ko na diri bumigay sadto fatal attraction ko sadto lipstick ni Mommy dearest o isupong su heels niya.,And every day I tried so hard not to give in to my fatal attraction to Mommy dearest's lipstick or slip into her heels.
"Ku high school, risa man na mas intresado 'ko sa mga lalaki.","In high school, obviously I was more interested in the boys."
"Usad o darwa kanda intresado man kanako, pero maray tabi akong babayi kaya pigpapaalagan ko a pagigin birhen ko.","One or two of them were interested in me, too, but I was a lady and I prized my virginity."
"Saka, sabi ku mga madre mamamabros kuno 'ka kin pakaputan mo sa lalaki a kamot mo o arukan ika.","Besides, the nuns said that you could get pregnant if you allowed a boy to touch your hand or kiss you."
Pa'la makakaiyan ika sa impyerno.,And then you would go to hell.
Tubod man ako kanda.,I believed them.
Ag pig-uulat ko su tamang lalaki na mag-abot na migtao kanako ka loving-lightning-feeling na agko matching fireworks ag singsing sa kasal.,And I was waiting for the right man to come who would give me that loving-lightning-feeling with matching fireworks and wedding ring.
"Arog pa man kan, nagdrowing ako sa puso na agko ""Prince Charming"" na nakasurat sa bitnga pa'la pana na naglagbas sadi.","Anyway, I had drawn hearts with ""Prince Charming"" written in the middle and an arrow passing right through it."
Buko sanang mga babayi tabi agko monopolyo san.,The girls didn't have a monopoly on that.
Su ibang mga babayi intresado man kanako ag kin pwede ko sana kandang sabiyon.,"Some of the girls were interested in me, too, and I wished I could tell them."
"Babayi man ako, noh?!","I'm a girl, too, noh?!"
Gusto ko sirang santaringon ta sigeng pilik-pilik ka mga pirok pa'la irik-itik.,They made me want to slap them because of their eyelash-batting and giggling.
Lalo na pag sige man nirang durat sadto ngamin kong crush.,Especially when they were also flirting with all my crushes.
Sa kamaturan mas magayon ako ag kaya ko tabi papilik-pilikon a 'lang itom kong pirok na mas maispid ag mas matibay.,And really I was prettier and I could bat my sooty eyelashes faster and better.
"Mas maganting pa ngani akong bumayli sa bayliyan kisa kandang makakanos, mga walawon a tiil na haliparot na pigparatagisan ako pag nakakarapo kanako.","I even danced better in social dancing than those ugly, left-footed haliparots who kept on rubbing themselves against me every chance they could get."
"Ata na, a mga babaying an ginibong full body-contact a tango kanako!","I swear, those girls made tango a full body-contact sport for me!"
Nagdududa na si Daddy ka interes ko sa ballroom dancing.,Daddy was suspicious though about my interest in ballroom dancing.
Pero diri iya opisyal na makareklamo ta si lola ako a gustong kapadis.,But he couldn't officially complain because my grandmother liked having me as her partner.
"Maray an ka osteoporosis niya tabi, isi mo.","It's good for her osteoporosis, you know."
Pa'la panawon na para sa kolehiyo.,Then it was time for college.
"Buot ko raw na magin paratutturo, inhenyero, abogado, nars, doktor, o padi?","Did I want to be a teacher, an engineer, a lawyer, a nurse, a doctor or a priest?"
"Gusto ko raw sa tuberculosis, math, libro, rugo, dakol na libro pa'la dakol na rugo.","Did I want tuberculosis, math, books, blood, more books and more blood."
Ag marapado sa palo-palo ag magkaon sa tapayas bilang pandulsi sagkod pa man?,And being whacked by a paddle and having papaya for dessert forever?
"Ay no deal, bakla!","No deal, bakla!"
A pinakagusto ko talaga a magluog sa fashion school pa'la makatuod magdisenyo ag maggibo sa gowns.,What I really wanted was to go to fashion school and learn how to design and make gowns.
"Pa'la syempre maggamit sa mas maray na ngaran kisa sa ""Pitoy Moreno"".","And definitely use a better name than ""Pitoy Moreno""."
"Sa ngabilon kaya namo, a ngaran niya buot sabiyon su junior.","In our dialect, his first name refers to junior."
Kanos!,Ugly!
Si Daddy gusto 'kong magluog sa Philippine Military Academy.,Daddy wanted me to go to Philippine Military Academy.
Pigsumite na niya su application ko pa'la pigpirit niya 'kong mag-test.,He filed my application and forced me to take the test.
"Milagro, nakapasar ako!","And milagro, I passed!"
Sabi ni Daddy gusto talaga niya na a igin niya na magin big-time General kopra/paroy/mais/manok/pambulang-na-manok na hadi ka ngamin na macho sa syudad.,Daddy said that he had always wanted his son to be a bigtime General copra/palay/corn/chicken/fighting-cocks king of all the machos in our city.
Su palad ag mga guramoy ko apos nang lu-mipad pataas ag makakarait pa 'ko.,My palms and fingers almost flew upwards and I almost squealed.
"Mapapalibutan man kintana 'ko sadto PMA sa kadakol na masisiram na unipormadong lalaki, narungog ko man na kakadugon nira a mga binabaying arog ko.","As much as I would be surrounded in PMA by a lot of delicious men in uniform, I heard that they beat up lady boys like me."
Pa'la kaipuwan kong tusaran ading bok ko!,And I had to cut my hair!
Uda makakakapot kading crowning glory ko!,Nobody touches my crowning glory!
"Kaya nagdulag ako sadto Los Angeles, sadto magigin bok ko sa PMA, pala nagpaiyan ako sa Metro Manila.","So I ran away from Los Angeles, from my future hair in PMA, and went to Metro Manila."
"Nagdagos muna 'ko sadto mga pinsan ko, pero sinabiyan sira ni Daddy na diri ako pagpadaguson 'nganing mapiritan akong pumauli.","I first stayed with my cousins, but Daddy had told them not to take me in so that I would be forced to go home."
Su tapos ko nagturutambay ako sa Remedios Circle sa Malate ta narungog ko na sadto a mga tawong arog ko.,I ended up hanging around Remedios Circle in Malate because I heard that's where people like me were.
"Uda sintabo pa'la nag-aalop, inako ko su imbitasyon ku gurang na lalaki, na pag-una ko maray na Samaritano.","With no money and going hungry, I accepted the invitation of an older man, whom I thought was a Good Samaritan."
Para sa pagkaon ag inumon na diri ko isi na agko palan rabadonkey pakatapos.,For a meal and drinks without knowing that there was rabadonkey after.
Buko iyang Prince Charming pa'la uda man kikilat with matching fireworks.,He was not Prince Charming and there was certainly no lightning with matching fireworks.
The truth is diri ko talaga iya pig-isipan sa maray.,The truth is I did not think about it much.
"Pa'la abo kong mag-arte na bagana baktin na pigbubuno arog ni Kris Aquino sadto pelikulang ""Vizconde Massacre"".",And I didn't want to act like a pig being gutted like Kris Aquino in the movie Vizconde Massacre.
O magin matuod na teleserye queen na magtatangis sa binaldeng tubig pa'la ubag nang pagsilngan a lalawgon ko pakatapos.,Or be a true-to-life teleserye queen who would cry buckets and buckets of water and have my face looking bloated after.
"Saka su hormones ko baga biyong inaarangkada pala agko man pangangaipo a awak ko, isi mo man.","Besides my hormones were raging and my body had needs, too, you know."
"Magkaon, mag-inom, pa'la rabadonkey sa sunod-sunod na lalaki.","It was meals, drinks, and rabadonkey with one man after the other."
"Ay mader, a iba kanda diri mo ngani uunaon na mga mama man.","And mother, some of them you wouldn't think were mamas."
"A rabadonkey, naturan ko, pagsulbong man sana ka tab A sadto slot A o C ta babayi man sana a agko slot B.","The rabadonkey, I had learned, was a matter of inserting tab a into slot A or C because only women had slot B."
"Pa'la kin a pagkaon, inuman pala rabadonkey tapos na, migturog muna 'ko sa gatingay anggan sa gisungon ako ta oras na 'nganing maggalin.","And when the meals, drinks, and rabadonkey were done, I got a little deep until I was woken up because it was time to leave."
Sa kadaklan ka panaworn tatawan ako sa sintabo pala balik na sa Remedios Circle.,Most of the time I was given money then it was back to Remedios Circle
Udang load sa cell phone o rubber shoes o bling bling para kanako.,No cell phone load or rubber shoes or bling bling for me.
"Amo talaga, ku panawon na adto kadaklan sa mga cell phone analog ag kaipuwan mo kadto sa linya.","Really, at that time, most cell phones were analog and you had to have a line."
Ag nagngangalas ngani ako minsan kin pauno a gift-rubber-shoes-giving nagpuon.,And I wonder sometimes how the whole gift-rubber-shoes giving began.
Sabi ko ngani diri ko man pig-isipan a mga an sa maray.,As I said I did not think about it much.
Lang pagal pero mamuya man.,It was tiring but it was also fun.
"Ag para kanako, I was just a girl who wanted to have fun.","And as far as I was concerned, I was a girl who just want ed to have fun."
Pa'la nakatipon ako sa sintabo 'nganing makaarkila sa kwarto kaiba 'ding tulo man na binabayi.,In time I had saved enough money to be able to afford to rent a room with three other lady boys.
Nagpundo na 'kong magsupong kading mesh-shirts ko ta sabi nira buko kuno 'kong magayon na supong adi.,I had stopped wearing my mesh shirts because they said I definitely didn't look beautiful in them.
Nakatuod naman akong magbutang sa foundation na bukong espasol na pagsilngan.,I had also learned to apply foundation without looking like an espasol.
Pa'la lipstick na bukong bagana agko Gumamela sa ngabil ko.,And lipstick without looking like I had a Gumamela on my lips.
Sadto usad sa mga group dates na adto ko natuparan ading future papa ko.,It was in one of those group dates that I met my future papa.
Kaiba iya kading grupo sa mga bading na bagana mga bukong mga bading na pagsilngan na nakipagbayadan kading grupo ko man sa mga binabayi.,He was with this group of gays who didn't look like they were gay who met up with my group of lady boys.
Bagana 'di su pabayli sa barangay namo talaga na agko darwang grupong nag-iing-ingan sa kada usad kin siisay a para kiisay.,It was like our barangay dance all over again with both groups whispering to each other about who would be for whom.
Tunay su padis namo.,And what a pair we made.
"Iya su tipong punok, pormal pala ako man su probinsyanong bakla sa silong ku kadaklan.","He was the silent, stuffy type and I was the probinsyanong bakla as far as everyone was concerned."
Ku bilog na gab-i nagngangalas ako kin kuno kami mig-uno.,The whole night I was wondering when we would get down to it.
Pero pigparaunga sana niya 'ko sa mga ungang pang-slumbook pala gusto sanang magparabisara pa'la bisara pala bisara.,But he just asked me slumbook questions and wanted to talk and talk and talk.
Gusto sana niyang magparabisara labing nagkakaon ag nag-iinom kami ku sunod na gab-ing magkaibanan kami pala ku sunod pa'la ku sunod pa.,He also just wanted to talk while we ate and drank the next night we were together and the next and the next.
Nauda na 'ko sa bilang ag nagpundo na 'kong magpara-isip na agko mingyari pa kanamong darwa.,I lost count eventually and stopped thinking that something would happen between the two of us.
Inunga ko sadiri ko.,I had asked myself.
Uno man adi?,Ano ba ito?
Agko problema sa darwang payo ka awak?,There's a problem with two heads of the body?
"Pero ta gusto sana man niyang magbisara, eh di go with the bisara!","But since he just wanted to talk, eh 'di go with the talk!"
"Pakatapos man ka ngamin, tatawan niya 'ko sa sintabo tanganing magparapakibisara sana kanako ag diri makipagdaliyan kanako.","After all, he would give me money just to talk to me and never had sex with me."
Nagpuon na 'kong maglaom ag magparalaom na mababayad ko iya pa'la makaibanan iya.,I began looking more and more forward to seeing him and spending time with him.
"Bagana ngani ako makakapay kin uno pipilion na isusupong, pag-isip kin uno sasabiyon ag ngamin.","Going through the motions of going crazy picking out what to wear, thinking about what to say and all."
"Pa'la usad na gab-i labing nag-uulat kanako sa usad na restawran, nagtangad iya.","Then one night while waiting for me in a restaurant, he looked up."
"Pala ku nagsabi iya na ""hello"", bagana 'ko natamaan sa kitkilat.","And when he said ""hello"", it hit me like lightning."
"Pero syempre diri ko man isi kin uno pagmati ka matamaan sa kitkilat, sabay sana sa sulog bakla.","But of course I really didn't know how being hit by lightning felt, just go with the flow bakla."
Payaba ko iya.,I loved him.
"Uda na rason ta amo yan a pagpayaba, bukong amo?","No more explanations because that's love, right?"
"Bagana rosaryo, misteryoso!","Like a rosary, it's mysterious!"
"Kaya amo, he had me at ""hello"".","So yes, he had me at ""hello""."
"Ku gab-ing adto, inunga man niya 'ko.","That night, he also asked me."
"Lady Boy, will you be my girlfriend?","Lady Boy, will you be my girlfriend?"
Ag amo nagrait ako pa'la nag-arteng arog ka isay man na beauty queen na nanggana sa Miss Universe title.,And I squealed and acted just like any beauty queen who won the Miss Universe title.
Pigyapyapan a lalawgon.,Fanned the face.
"Nagtatangis labing nagsasabing ""I don't want to cry"".","Cried while saying ""I don't want to cry""."
"Nagtawa pa'la nagsabing ""I can't believe it!"".","Laughed and said ""I can't believe it!""."
"Pa'la tawa pa'la sabing ""Yes!"" faster than four o-clock bago niya 'di mabawi.","And then smiled and said ""Yes!"" faster than 4 o'clock before he took it back."
Ta naturakan ko na a Prince Charming ko ag with matching fireworks show ku gab-ing adto!,I had finally found my Prince Charming and there was a matching fireworks show that night!
Pigtrato niya 'kong bagana prinsesa pakatapos ka normal na rabungan manungod kadi ag kan na chorva.,I was treated like a princess after with the usual fights about this and that chorva.
Abo ta man ikang magraan sa ibog o magkilas-kilas ika ka ngamin na detalye.,I don't want you to die with envy or make your eyes roll with all the details.
Pero sabi niya papayabaon niya 'ko forever pa'la mabubuway kami happily ever after.,But he said he would love me forever and we would live happily ever after.
Pa'la biyo ko man iyang payaba ag gusto ko 'yang biyong mammuya kaya nagbakal ako pa'la binasa ko a Kama Sutra.,And I loved him so much and I wanted to please him so much that I even bought and read Kama Sutra.
"Ginibo ko su iba sadto, kaya sige niya balik-balik 'nganing sige pa.","I did some of the things there, that's why he kept on coming back for more."
"Amo sige pa, amo, amo, diri, diri, diri na, sige pa!","Yes more, yes, no, no more, more!"
"Bakla, su iba sadto pigpurbaran kong gibuwon kindi diri ko talaga kayang gibuwon!","Bakla, some of the things there I tried to do but I cannot really do!"
"Dyos ko, uda ako ka gamit para sa ngamin na posisyon, noh?!","My god, I don't have the equipment for all those positions, noh?!"
"Arog pa man kan, nagin prinsesa 'ko na agko ka mga ordinaryong problema sa relasyon sa luog sa usad na taon, onseng bulan, ag baynte-tres na aldow 'nganing eksakto.","Anyway, I was a princess with the usual relationship problems for one year, eleven months, and 23 days to be exact."
K'wasa usad na aldow pakatapos kan sinabiyan niya 'ko na kakasalon na iya ag risa man na buko ako su bride.,"Because a day after that, he told me that he was getting married and obviously I wasn't the bride."
